Gene	HT29-CoCl2-1_S1	HT29-CoCl2-2_S13	HT29-CoCl2-3_S6	HT29-Ctrl-1_S11	HT29-Ctrl-2_S7	HT29-Ctrl-3_S15
DDX11L1	0	0	0	0	0	0
WASH7P	0	0	0	0	0	2
MIR6859-1	7	2	5	7	6	3
MIR1302-2HG	0	0	0	0	2	0
MIR1302-2	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
AL627309.1	0	0	0	0	0	0
AL627309.3	0	0	0	0	0	0
CICP27	0	2	1	7	5	6
AL627309.6	104	97	91	44	53	53
AL627309.7	137	142	108	37	59	96
AL627309.2	0	1	0	0	0	0
AL627309.5	33	39	37	11	14	20
RNU6-1100P	0	0	0	0	0	0
AL627309.4	0	0	0	0	0	0
FO538757.1	1	0	2	4	8	3
WASH9P	63	54	42	38	35	46
MIR6859-2	0	0	0	0	0	0
AP006222.1	2	0	0	0	2	1
AP006222.2	0	0	0	0	0	0
RPL23AP24	0	0	0	0	0	0
AL732372.1	0	0	0	0	0	0
AL732372.2	78	80	59	40	37	53
WBP1LP7	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0
CICP7	0	0	0	0	0	0
AL732372.3	0	0	1	0	0	0
FO681485.1	0	0	0	0	0	0
AL669831.3	2	3	3	5	3	5
AC114498.1	0	0	0	0	0	0
MTND1P23	5	4	7	3	2	5
MTND2P28	1050	1170	988	868	1070	1385
MTCO1P12	426	426	426	116	131	437
AC114498.2	0	0	0	0	0	0
MTCO2P12	11	17	16	14	17	17
MTATP8P1	0	2	0	0	0	0
MTATP6P1	12405	14623	13440	9950	12101	14869
MTCO3P12	13	21	16	13	17	23
WBP1LP6	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
CICP3	2	0	0	1	0	3
AL669831.1	38	29	17	37	39	57
RNU6-1199P	0	0	0	0	0	0
AL669831.2	0	0	0	0	0	0
LINC01409	24	29	15	88	68	79
AL669831.6	0	0	0	0	0	0
AL669831.4	0	4	0	0	2	5
FAM87B	10	4	6	1	4	6
LINC01128	129	143	101	145	163	259
LINC00115	14	14	9	6	9	8
AL669831.7	0	0	0	0	0	0
FAM41C	0	0	0	0	0	0
TUBB8P11	0	0	0	0	0	0
AL669831.5	0	0	0	0	0	0
AL645608.6	0	0	0	2	1	1
AL645608.2	0	0	0	3	2	6
AL645608.4	1	0	0	0	0	0
LINC02593	0	1	0	2	5	9
