Gene name	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene type
HMOX1	16880.3605603616	8.74797310492325	0.0956602364388043	0.0	0.0	protein_coding
COL4A1	109.287533772281	8.44504689720388	0.969692413217214	4.53677868394218e-17	2.24490787116755e-16	protein_coding
HSPA6	186.202661896278	8.32561677693334	0.709404532034352	1.07140073465652e-30	8.20960360021898e-30	protein_coding
RBPMS2	317.415625743313	7.83896499239991	0.461917624322646	1.02458853437732e-63	1.55389069691576e-62	protein_coding
MAP1A	3009.58944157112	7.66578624497976	0.146527173300672	0.0	0.0	protein_coding
MMP13	265.317244174516	7.44198384891793	0.44846001189187	5.07956029486729e-61	7.36828919085167e-60	protein_coding
SPP1	102.29074957273	6.67429740186058	0.560341344396861	2.66755799066715e-32	2.13423477939746e-31	protein_coding
IGFL1P1	235.583999633232	6.57498529414209	0.358425573193635	1.4949966794793301e-74	2.6672153357198902e-73	unprocessed_pseudogene
DGKG	157.299615644793	6.32906005517309	0.407735429382309	4.1924333339008704e-54	5.37894419476364e-53	protein_coding
LINC01564	265.775258253119	6.16791592963738	0.298254139474203	1.98193800811837e-94	4.61528791243022e-93	lncRNA
NMRAL2P	225.713737616618	6.15443577316909	0.324607142608989	5.05458745272623e-80	9.74696531947837e-79	transcribed_unprocessed_pseudogene
CYP4F11	377.488858760429	6.10938359243113	0.246476123019797	1.7237448133141e-135	6.444985145226209e-134	protein_coding
IGFL2-AS1	1810.28699978661	6.05900098051855	0.121143486268782	0.0	0.0	lncRNA
MT1X	741.086009650587	6.05603435722471	0.176376810017215	3.2516514987988696e-258	2.85565580076686e-256	protein_coding
DKK1	321.980784699558	-5.96337678079605	0.304765731651318	4.10903857087754e-85	8.49476240318826e-84	protein_coding
NDRG1	67721.6177205076	5.95868153802773	0.051850839598266	0.0	0.0	protein_coding
CD200	282.323051187094	-5.94716734332718	0.325442662828306	1.3680963645786e-74	2.44273659800014e-73	protein_coding
ABCC2	488.861175681373	5.83823024703874	0.521020564427782	1.91246652240074e-30	1.45168061857809e-29	protein_coding
SEMA6B	120.413010943096	5.63504876435006	0.384179054129898	2.8039366039558197e-49	3.2748245140428296e-48	protein_coding
CLIC2	135.079142763109	5.47475039021075	0.342890186322612	3.6168981017065596e-57	4.91022631446778e-56	protein_coding
PFKFB4	2118.74250452563	5.46463708035437	0.0977063069755357	0.0	0.0	protein_coding
ADM	1424.95999015821	5.40215705011799	0.112206607744268	0.0	0.0	protein_coding
NOX1	717.309601832051	-5.32734019903554	0.170981931265313	3.3696818280399695e-213	2.30665410452355e-211	protein_coding
AKR1C1	1731.85048916718	5.27680213111718	0.101906198191096	0.0	0.0	protein_coding
PHEX	186.602908806365	5.2596996496782	0.278737170284326	9.612862677240939e-80	1.84583256390615e-78	protein_coding
OSGIN1	2576.10937768154	5.21247307846643	0.0831894171414172	0.0	0.0	protein_coding
PFKFB3	8682.93524416769	5.17253384066442	0.0592182925763088	0.0	0.0	protein_coding
UCA1	1777.64597529398	5.11676643889451	0.0936443108512778	0.0	0.0	lncRNA
AKR1C2	427.43649855987	5.08722770674902	0.176995408776085	3.47330049575672e-182	1.8344532082250801e-180	protein_coding
FAM219A	1919.4674442196	5.08349389142489	0.0922859002974348	0.0	0.0	protein_coding
SDCBP2	2036.83425964543	5.06982730319833	0.0945599081252567	0.0	0.0	protein_coding
SQSTM1	44318.8614628091	4.90364746118246	0.0411359398337175	0.0	0.0	protein_coding
ENO2	5251.11047246196	4.85818566999031	0.0620512714436767	0.0	0.0	protein_coding
KIAA0319	114.738343113982	4.84608395894309	0.318467418743307	5.38330391313015e-53	6.78769616381207e-52	protein_coding
GABARAPL1	4695.02169546384	4.70797182650272	0.0639281775705412	0.0	0.0	protein_coding
EGF	296.841366662345	4.70197201477871	0.194558234537387	3.3569731995394e-130	1.19594809363465e-128	protein_coding
INSIG1	15109.3564117203	4.631755072813	0.0655093688367512	0.0	0.0	protein_coding
BHLHE40	2631.69766119234	4.58755264352999	0.0721004825757757	0.0	0.0	protein_coding
HK2	7133.87713197943	4.50136603689299	0.053551057332108	0.0	0.0	protein_coding
MT2A	2735.21487082108	4.4903557131538	0.0812659195465975	0.0	0.0	protein_coding
HDAC9	118.560481640772	4.48341267509977	0.28781898623931	9.67787384947288e-55	1.25590644720135e-53	protein_coding
APOL2	2307.47536740726	4.46805938832967	0.0772776355820204	0.0	0.0	protein_coding
ADH6	114.081974013431	-4.46616035571925	0.331766433844628	9.74540706646589e-42	9.79208129986626e-41	protein_coding
GPX3	3211.70108098052	4.39796538842744	0.0680040708902245	0.0	0.0	protein_coding
ABHD4	1570.38880440461	4.34379096387233	0.0869846235535264	0.0	0.0	protein_coding
ABCB6	258.444998553881	4.25256981504233	0.187987308971864	6.706589375404801e-114	1.99158456183384e-112	protein_coding
LUCAT1	317.277204964153	4.24315144136478	0.1675243684449	6.29996635442729e-142	2.4653650718240697e-140	lncRNA
F2R	955.206335630209	-4.21199546914857	0.117641293394032	2.85052176068093e-281	2.8962835001573303e-279	protein_coding
TGFB2	115.425366821838	-4.20325441552873	0.313116714263371	1.21488911052302e-41	1.2158550117593e-40	protein_coding
GLA	4167.52733223753	4.20057224399797	0.0601583151864216	0.0	0.0	protein_coding
HMGCS1	16124.2840376194	4.19762313518527	0.0514275475127291	0.0	0.0	protein_coding
MRNIP	3126.48168144182	4.17179019735498	0.073376219348919	0.0	0.0	protein_coding
CYP4F3	285.399007926169	4.17025849053198	0.174461230339721	6.75869078813907e-127	2.32733154829263e-125	protein_coding
IGSF10	133.353527697374	-4.14940719757961	0.283703687633321	7.18128266142875e-49	8.31443549017131e-48	protein_coding
ERN2	279.396662908801	-4.06557870971277	0.195988897254189	3.27206539241383e-96	7.79584202537462e-95	protein_coding
CFTR	3468.33726199095	-4.05908111351523	0.0658050362591043	0.0	0.0	protein_coding
GCLM	4247.1551775346	4.05697707857671	0.061498539850535	0.0	0.0	protein_coding
APOL1	3085.6930078198	4.03943221637294	0.0745612930747404	0.0	0.0	protein_coding
LINC00261	379.910080690473	-3.9888906112511	0.166165308334026	5.70399306575741e-128	1.98526996749511e-126	lncRNA
EGLN3	2285.09544629182	3.97492753658251	0.071313698284427	0.0	0.0	protein_coding
UFD1	7029.94436935763	3.89453547597772	0.0507281052546796	0.0	0.0	protein_coding
ATG9B	183.493285184373	3.87164243590633	0.20455960201196	1.1044623077352699e-80	2.1591809291342298e-79	protein_coding
TLR6	248.796304962998	3.86865369083904	0.176157650758633	6.45393621426206e-108	1.79207459243566e-106	protein_coding
TMEM147-AS1	176.658680780106	-3.86393706743052	0.231090887891189	2.25875487441013e-63	3.3915750791507497e-62	lncRNA
EREG	2337.6449669609	-3.85965490053617	0.162422702415166	5.49769758886343e-126	1.86756869517942e-124	protein_coding
ANXA13	5578.76360561916	-3.85201519043077	0.0624840094446758	0.0	0.0	protein_coding
COLCA2	364.03448341291	-3.8285004095851	0.164690170885861	2.8919394285062803e-120	9.22895261564724e-119	protein_coding
LPIN1	2098.18253499421	3.81183984648991	0.0742736689418756	0.0	0.0	protein_coding
CTSL	486.942660808443	3.80685900870792	0.128159127233487	3.28203849043675e-194	1.8778895988968597e-192	protein_coding
FTL	145679.760057509	3.80487008646062	0.0415130330740592	0.0	0.0	protein_coding
GBE1	945.573294452383	3.79862777548793	0.0957812982205859	0.0	0.0	protein_coding
UNKL	1490.90182577039	3.79380431056753	0.0786833565220119	0.0	0.0	protein_coding
IDI2-AS1	167.338681113151	3.78635948070874	0.215354408385583	6.25728617380359e-70	1.03942514755163e-68	lncRNA
BRF2	167.684310319088	3.78217875690656	0.210874665797526	2.17043349578653e-72	3.74829894417158e-71	protein_coding
CLEC3A	862.431557552382	-3.77526845855258	0.113311167544017	6.211351044694789e-244	4.99066638193952e-242	protein_coding
MLLT11	362.150854055753	3.77482330919842	0.149941863922033	1.0863060933894e-140	4.21464442877006e-139	protein_coding
FTLP3	347.094137633785	3.77056001868155	0.153155676041578	7.12218643391593e-135	2.64982758981391e-133	processed_pseudogene
KLHL21	2927.91715179701	3.77034785115291	0.0641482730333255	0.0	0.0	protein_coding
LINC02381	113.807815477731	-3.76774298331726	0.285930529493074	2.45010516064434e-40	2.38361883769341e-39	lncRNA
MEX3A	386.742002584223	-3.75173400693745	0.158347305654194	8.40274824829134e-125	2.7916344546889298e-123	protein_coding
SCPEP1	533.182974122213	3.74330108184846	0.121546592841248	2.12098441584187e-209	1.4134489674748599e-207	protein_coding
ZFAND2A	1454.62450327792	3.73944386528759	0.0802902058444835	0.0	0.0	protein_coding
SFXN2	235.694367786866	-3.73236903735622	0.198979131904315	4.04490405236252e-79	7.70163327885966e-78	protein_coding
B4GALNT1	179.697496156936	3.72365196078399	0.201664896347682	8.167756142040649e-77	1.49607937482908e-75	protein_coding
AQP5	292.055186018257	-3.71556521022886	0.178325837090867	6.24609033961716e-97	1.50237701608329e-95	protein_coding
EGR1	1284.83921208108	-3.70840400836176	0.111237750447407	1.47428751630429e-244	1.18876891617162e-242	protein_coding
FBXO30	1910.70088520914	3.70254670541675	0.0753360823748464	0.0	0.0	protein_coding
KLHDC7A	165.779437273207	-3.68671265165138	0.232087232240136	1.9381301948749998e-57	2.6422475304138196e-56	protein_coding
ZNF37BP	174.444701807815	-3.6848755042981	0.230841840211737	4.6104577677439606e-58	6.35424282856098e-57	transcribed_processed_pseudogene
ALDOA	410.116495194405	3.67285249220954	0.139169450401757	4.31524212544501e-155	1.89853895297734e-153	protein_coding
FUT11	1786.57727849576	3.67221358871033	0.0735533511581083	0.0	0.0	protein_coding
TNS4	843.017646124553	-3.66634682579416	0.107645709537601	5.232005598119139e-255	4.5246863680222704e-253	protein_coding
CXCL8	703.934521920762	3.65777490622635	0.121790718712048	1.11021008902923e-197	6.550817759693851e-196	protein_coding
