Gene name	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene type
MT-TF	1.80447103741009	0.0611231678695439	0.758122132639527	0.884268021735906	0.917391030705391	Mt_tRNA
MT-RNR1	10399.0484284837	1.00050842385335	0.0418271985866591	4.10865081751461e-127	1.4191129607202098e-125	Mt_rRNA
MT-RNR2	185709.228606793	1.09564689283039	0.0360925835852416	7.85014549627321e-203	4.94079435151551e-201	Mt_rRNA
MT-TL1	7.04099991741103	1.90048165005573	0.836891712324297	0.0036964290022969	0.0077499480275787	Mt_tRNA
MT-ND1	32042.8228788193	1.00506437871228	0.110176911111144	4.37627605944062e-20	2.41847958426355e-19	protein_coding
MT-ND2	39174.4565826591	0.594709980934572	0.0609586156244447	1.42085230271535e-22	8.51684430553558e-22	protein_coding
MT-TC	299.413842468869	0.785812557429256	0.151120224074642	1.30118412076323e-07	4.16239302671937e-07	Mt_tRNA
MT-TY	169.556034187085	1.24643931065662	0.161807124004222	5.078122788722881e-15	2.33340308551781e-14	Mt_tRNA
MT-CO1	289456.682112989	1.02777828778731	0.0564284793378415	3.74287282068906e-73	6.50851975220051e-72	protein_coding
MT-CO2	154426.044487858	0.639411215216602	0.123659430651034	1.95776466514775e-07	6.18502952912963e-07	protein_coding
MT-ATP8	6426.76609160878	0.403877009445474	0.174171175654753	0.0182166493745346	0.0339602469580554	protein_coding
MT-ATP6	95883.9656879697	0.649273133564553	0.132872605402941	9.74347978225748e-07	2.91905017726286e-06	protein_coding
MT-CO3	173741.735938923	0.675355644806589	0.0548645947085692	5.938035066957891e-35	5.08672962371009e-34	protein_coding
MT-ND3	11781.7350442968	0.0591513928374783	0.0627793748938991	0.379837425330041	0.481339842456827	protein_coding
MT-ND4L	15891.5131115134	0.676937575215187	0.0516765067007864	2.41520836796133e-39	2.29546104032163e-38	protein_coding
MT-ND4	140816.335535488	0.679973261988416	0.111626353847593	8.158255983912721e-10	2.9392552724359103e-09	protein_coding
MT-ND5	78974.9067618622	0.717423507699965	0.11704841251858	7.02006400691243e-10	2.5364473013653603e-09	protein_coding
