Gene type	Gene name
Mt_tRNA	MT-TF
Mt_rRNA	MT-RNR1
Mt_tRNA	MT-TV
Mt_rRNA	MT-RNR2
Mt_tRNA	MT-TL1
protein_coding	MT-ND1
Mt_tRNA	MT-TI
Mt_tRNA	MT-TQ
Mt_tRNA	MT-TM
protein_coding	MT-ND2
Mt_tRNA	MT-TW
Mt_tRNA	MT-TA
Mt_tRNA	MT-TN
Mt_tRNA	MT-TC
Mt_tRNA	MT-TY
protein_coding	MT-CO1
Mt_tRNA	MT-TS1
Mt_tRNA	MT-TD
protein_coding	MT-CO2
Mt_tRNA	MT-TK
protein_coding	MT-ATP8
protein_coding	MT-ATP6
protein_coding	MT-CO3
Mt_tRNA	MT-TG
protein_coding	MT-ND3
Mt_tRNA	MT-TR
protein_coding	MT-ND4L
protein_coding	MT-ND4
Mt_tRNA	MT-TH
Mt_tRNA	MT-TS2
Mt_tRNA	MT-TL2
protein_coding	MT-ND5
protein_coding	MT-ND6
Mt_tRNA	MT-TE
protein_coding	MT-CYB
Mt_tRNA	MT-TT
Mt_tRNA	MT-TP
protein_coding	
protein_coding	INTS3
processed_pseudogene	
protein_coding	KIR3DL1
polymorphic_pseudogene	KIR2DS4
protein_coding	KIR3DL1
lncRNA	
polymorphic_pseudogene	KIR2DS4
protein_coding	
protein_coding	KIR2DS5
transcribed_processed_pseudogene	LILRP2
transcribed_unprocessed_pseudogene	LILRP2
protein_coding	KIR2DL4
unprocessed_pseudogene	
polymorphic_pseudogene	KIR2DS4
transcribed_unprocessed_pseudogene	KIR3DP1
protein_coding	KIR2DL1
unprocessed_pseudogene	LILRP1
protein_coding	KIR2DL3
transcribed_processed_pseudogene	LILRP2
protein_coding	KIR2DS4
lncRNA	
transcribed_processed_pseudogene	LILRP2
lncRNA	
protein_coding	FCAR
protein_coding	KIR2DS3
unprocessed_pseudogene	
protein_coding	NCR1
protein_coding	KIR2DL4
protein_coding	KIR3DL2
lncRNA	LINC02109
protein_coding	KIR3DL1
protein_coding	KIR2DL2
lncRNA	
protein_coding	KIR2DL4
protein_coding	KIR2DL3
protein_coding	KIR3DL1
unprocessed_pseudogene	LILRP1
protein_coding	KIR2DL2
protein_coding	KIR2DL4
rRNA	5S_rRNA
protein_coding	KIR3DL1
protein_coding	KIR2DL3
rRNA	5_8S_rRNA
protein_coding	KIR2DL1
protein_coding	KIR3DL3
protein_coding	KIR2DL4
protein_coding	KIR2DL4
polymorphic_pseudogene	KIR2DS4
snoRNA	
protein_coding	KIR3DL2
protein_coding	KIR2DL4
protein_coding	PCMTD2
unprocessed_pseudogene	
protein_coding	KIR3DL2
protein_coding	KIR3DL1
protein_coding	KIR2DL2
unprocessed_pseudogene	
protein_coding	KIR3DL3
transcribed_unprocessed_pseudogene	LILRP1
protein_coding	KIR2DL1
protein_coding	KIR2DS5
unprocessed_pseudogene	KIR3DP1
unprocessed_pseudogene	KIR2DP1
protein_coding	KIR2DL1
unprocessed_pseudogene	KIR2DS4
protein_coding	KIR2DS2
transcribed_unprocessed_pseudogene	KIR3DP1
protein_coding	KIR2DL3
protein_coding	KIR3DL1
protein_coding	KIR2DL5B
unprocessed_pseudogene	
unprocessed_pseudogene	LILRP1
protein_coding	KIR3DL3
protein_coding	KIR2DL4
protein_coding	OPRL1
protein_coding	NPBWR2
lncRNA	
protein_coding	KIR3DL1
protein_coding	MYT1
protein_coding	KIR3DL3
protein_coding	KIR2DL4
protein_coding	KIR2DL1
transcribed_unprocessed_pseudogene	KIR3DP1
protein_coding	KIR3DL1
protein_coding	KIR3DL3
protein_coding	KIR3DP1
protein_coding	KIR2DS2
protein_coding	PTCHD3
protein_coding	KIR3DL3
transcribed_processed_pseudogene	LILRP2
protein_coding	KIR3DL1
protein_coding	KIR3DS1
protein_coding	KIR2DL2
unprocessed_pseudogene	
unprocessed_pseudogene	ODAD2P1
processed_pseudogene	FAM210CP
processed_pseudogene	TRIAP1P1
snRNA	U6
protein_coding	KIR3DL2
snRNA	U6
unprocessed_pseudogene	
protein_coding	KIR2DL4
transcribed_unprocessed_pseudogene	KIR3DP1
unprocessed_pseudogene	KIR3DP1
protein_coding	KIR2DS4
transcribed_processed_pseudogene	LILRP2
unprocessed_pseudogene	KIR2DP1
protein_coding	KIR2DL4
protein_coding	KIR2DS4
transcribed_processed_pseudogene	LILRP2
protein_coding	KIR2DL1
transcribed_unprocessed_pseudogene	KIR3DP1
protein_coding	KIR2DS2
protein_coding	KIR2DS1
protein_coding	KIR2DS4
protein_coding	KIR2DL1
protein_coding	KIR3DL3
protein_coding	FCAR
protein_coding	KIR2DS1
protein_coding	KIR3DL3
protein_coding	KIR2DL5A
protein_coding	FCAR
transcribed_processed_pseudogene	LILRP2
protein_coding	KIR2DL3
protein_coding	KIR3DS1
protein_coding	KIR2DL5B
protein_coding	KIR3DL2
unprocessed_pseudogene	LILRP1
unprocessed_pseudogene	KIR2DP1
protein_coding	KIR2DS2
protein_coding	KIR2DS5
unprocessed_pseudogene	KIR3DP1
unprocessed_pseudogene	
polymorphic_pseudogene	KIR2DS4
unprocessed_pseudogene	LILRP1
unprocessed_pseudogene	
protein_coding	KIR2DL4
protein_coding	KIR2DL4
protein_coding	KIR2DL2
protein_coding	KIR3DL1
protein_coding	KIR2DL1
unprocessed_pseudogene	LILRP1
unprocessed_pseudogene	
protein_coding	KIR2DS2
protein_coding	KIR2DL5A
protein_coding	KIR3DL3
lncRNA	
unprocessed_pseudogene	
unprocessed_pseudogene	KIR2DP1
protein_coding	KIR2DS3
protein_coding	KIR3DL1
protein_coding	KIR3DL1
protein_coding	
unprocessed_pseudogene	
protein_coding	KIR3DL1
protein_coding	KIR2DL5A
unprocessed_pseudogene	KIR3DP1
protein_coding	KIR2DL1
unprocessed_pseudogene	KIR3DP1
protein_coding	KIR3DL2
transcribed_unprocessed_pseudogene	KIR3DP1
unprocessed_pseudogene	LILRP1
protein_coding	KIR2DL4
unprocessed_pseudogene	LILRP1
protein_coding	KIR2DL2
protein_coding	KIR2DL4
protein_coding	KIR3DS1
protein_coding	NCR1
protein_coding	KIR3DL3
unprocessed_pseudogene	KIR2DP1
transcribed_processed_pseudogene	LILRP2
protein_coding	KIR3DL2
snRNA	U6
protein_coding	KIR2DS5
protein_coding	KIR3DL2
protein_coding	KIR2DL5B
transcribed_processed_pseudogene	LILRP2
unprocessed_pseudogene	LILRP1
unprocessed_pseudogene	
protein_coding	KIR2DL3
protein_coding	KIR2DL3
protein_coding	NCR1
protein_coding	FCAR
protein_coding	KIR3DL3
transcribed_unprocessed_pseudogene	LILRP2
protein_coding	KIR2DS2
protein_coding	KIR2DL5B
protein_coding	KIR2DL3
protein_coding	KIR3DP1
transcribed_processed_pseudogene	LILRP2
protein_coding	FCAR
protein_coding	KIR2DL1
protein_coding	KIR3DL3
protein_coding	KIR3DL3
processed_pseudogene	
lncRNA	
unprocessed_pseudogene	
processed_pseudogene	GEMIN2P1
protein_coding	GATAD2B
protein_coding	KIR2DL4
protein_coding	KIR3DL2
protein_coding	KIR2DL3
unprocessed_pseudogene	KIR2DP1
protein_coding	KIR2DL4
protein_coding	KIR2DL3
protein_coding	FCAR
protein_coding	
unprocessed_pseudogene	LILRP1
transcribed_processed_pseudogene	LILRP2
snRNA	U6
protein_coding	KIR2DL1
lncRNA	
protein_coding	SLC27A3
protein_coding	KIR2DL2
protein_coding	KIR3DL2
protein_coding	KIR3DL2
protein_coding	KIR2DL1
protein_coding	KIR2DS1
unprocessed_pseudogene	KIR2DP1
protein_coding	KIR2DL3
protein_coding	KIR2DL1
unprocessed_pseudogene	
protein_coding	KIR2DS3
snRNA	U6
protein_coding	KIR2DL5B
unprocessed_pseudogene	KIR2DP1
unprocessed_pseudogene	LILRP1
protein_coding	KIR3DL3
protein_coding	KIR3DL3
protein_coding	KIR2DS2
protein_coding	KIR3DL1
protein_coding	KIR2DL2
protein_coding	KIR3DL3
unprocessed_pseudogene	KIR2DP1
protein_coding	KIR2DS4
protein_coding	KIR3DL2
protein_coding	KIR2DL1
protein_coding	KIR3DL3
processed_pseudogene	
unprocessed_pseudogene	
protein_coding	
protein_coding	KIR3DL2
misc_RNA	Y_RNA
protein_coding	KIR3DL1
protein_coding	KIR2DS5
misc_RNA	Y_RNA
misc_RNA	Metazoa_SRP
misc_RNA	Metazoa_SRP
snRNA	U6
protein_coding	DNAH10
protein_coding	KIR2DL4
unprocessed_pseudogene	
unprocessed_pseudogene	LILRP1
unprocessed_pseudogene	KIR2DP1
snRNA	U6
protein_coding	KIR2DS2
lncRNA	LINC01839
lncRNA	LINC02054
lncRNA	
unprocessed_pseudogene	KIR2DS4
protein_coding	KIR3DL3
snRNA	U6
protein_coding	
lncRNA	
unprocessed_pseudogene	
protein_coding	KIR2DL4
protein_coding	KIR2DL2
lncRNA	
protein_coding	NCR1
snRNA	U6
lncRNA	
protein_coding	ZNF43
protein_coding	KIR2DS2
processed_pseudogene	IMPDH1P5
protein_coding	PPIAL4F
protein_coding	DLG5
protein_coding	KIR3DL2
processed_pseudogene	
unprocessed_pseudogene	LILRP1
snRNA	U6
protein_coding	OR9G4
polymorphic_pseudogene	OR5G3
protein_coding	ZNF100
unprocessed_pseudogene	OR9G3P
TEC	
unprocessed_pseudogene	OR5G1P
snRNA	U1
unprocessed_pseudogene	OR5G4P
snRNA	RNVU1-26
snRNA	RNVU1-2A
unprocessed_pseudogene	
snRNA	U6
transcribed_unprocessed_pseudogene	OR5G5P
unprocessed_pseudogene	OR9G2P
unprocessed_pseudogene	LILRP1
unprocessed_pseudogene	KIR2DP1
protein_coding	OR9G1
processed_pseudogene	CCNYL6
unprocessed_pseudogene	
transcribed_processed_pseudogene	BRI3BPP1
processed_pseudogene	
protein_coding	KIR3DS1
unprocessed_pseudogene	VN1R84P
protein_coding	OR9G9
processed_pseudogene	MTDHP4
unprocessed_pseudogene	
snRNA	U6
lncRNA	LINC02735
protein_coding	KIR2DL4
snRNA	RNU6-222P
protein_coding	SBNO2
protein_coding	KIR2DS4
transcribed_processed_pseudogene	LILRP2
unprocessed_pseudogene	
snRNA	U6
protein_coding	KIR2DL3
transcribed_processed_pseudogene	
polymorphic_pseudogene	KIR2DS4
protein_coding	KIR2DL1
protein_coding	KIR3DL3
protein_coding	CCDC92
protein_coding	KIR2DL4
protein_coding	KIR3DL3
protein_coding	KRTAP9-9
protein_coding	KIR3DL1
misc_RNA	
protein_coding	KRTAP9-2
rRNA	RNA5-8SN5
protein_coding	KRTAP9-4
rRNA	5_8S_rRNA
misc_RNA	
protein_coding	KRTAP9-3
unprocessed_pseudogene	KRTAP9-10P
protein_coding	
unprocessed_pseudogene	
protein_coding	KRTAP29-1
protein_coding	DHX36
lncRNA	KCNQ2-AS1
protein_coding	KCNQ2
protein_coding	KIR3DL3
protein_coding	FTCD
protein_coding	PIWIL1
pseudogene	
protein_coding	
lncRNA	
processed_pseudogene	MREGP1
protein_coding	
protein_coding	KIR3DL1
unprocessed_pseudogene	KIR3DP1
protein_coding	KIR3DL2
protein_coding	ARHGEF26
protein_coding	KIR3DL2
polymorphic_pseudogene	KIR2DS4
unprocessed_pseudogene	
unprocessed_pseudogene	KRT18P40
lncRNA	
protein_coding	KIR2DS4
processed_pseudogene	
protein_coding	ZNF430
protein_coding	KIR2DL1
protein_coding	SINHCAF
protein_coding	NCR1
protein_coding	KIR3DL2
protein_coding	KIR2DS2
transcribed_unprocessed_pseudogene	
protein_coding	KIR3DL2
unprocessed_pseudogene	
lncRNA	
transcribed_unprocessed_pseudogene	ANKRD18DP
protein_coding	KIR3DL2
TEC	
protein_coding	ZNF85
lncRNA	
lncRNA	FTCD-AS1
transcribed_unprocessed_pseudogene	KIR3DP1
protein_coding	LSS
lncRNA	
unprocessed_pseudogene	
protein_coding	
processed_pseudogene	
protein_coding	KIR2DL1
protein_coding	KIR2DL2
processed_pseudogene	
unprocessed_pseudogene	
snRNA	RNU6-821P
snRNA	U6
protein_coding	
processed_pseudogene	
lncRNA	ARHGEF26-AS1
processed_pseudogene	
lncRNA	FLJ13224
lncRNA	
lncRNA	DSEL-AS1
protein_coding	DSEL
protein_coding	SNTG2
lncRNA	
TEC	
protein_coding	TPO
unprocessed_pseudogene	
processed_pseudogene	BNIP3P24
lncRNA	
protein_coding	ZNF66
protein_coding	KIR2DL3
lncRNA	
lncRNA	
lncRNA	
protein_coding	ADI1
lncRNA	
protein_coding	GARRE1
lncRNA	
polymorphic_pseudogene	KIR2DS4
protein_coding	TRAPPC12
lncRNA	LINC00254
protein_coding	AP2A2
protein_coding	HS3ST6
transcribed_unprocessed_pseudogene	
lncRNA	MEIOB
transcribed_processed_pseudogene	LILRP2
transcribed_unprocessed_pseudogene	KIR3DP1
protein_coding	NCR1
protein_coding	LSM14A
protein_coding	KIR3DL3
transcribed_processed_pseudogene	LILRP2
lncRNA	LINC02124
protein_coding	KIR3DL2
lncRNA	
lncRNA	
lncRNA	
protein_coding	KIR2DL5A
protein_coding	KIR3DL1
protein_coding	
transcribed_unprocessed_pseudogene	
protein_coding	KRTAP9-2
unprocessed_pseudogene	KRTAP9-10P
protein_coding	KRTAP9-4
protein_coding	KIR2DS1
lncRNA	
protein_coding	KRTAP9-6
protein_coding	ABCB11
lncRNA	
protein_coding	KRTAP9-7
protein_coding	KRTAP29-1
processed_pseudogene	
unprocessed_pseudogene	KRTAP9-12P
unprocessed_pseudogene	KRTAP9-11P
protein_coding	KRTAP9-9
snRNA	U6
transcribed_unprocessed_pseudogene	
lncRNA	
protein_coding	RPS17
protein_coding	KIR3DL3
unprocessed_pseudogene	KIR2DP1
