Gene name	baseMean	log2FoldChange	lfcSE	pvalue	padj	Gene type
ATF1	591.181157074667	-0.000102103879328	0.0897915698265316	0.995313269537207	0.996985325427676	protein_coding
FER1L4	2679.79445593923	-0.0002844842704025	0.0535887157571096	0.993168015877428	0.995793304550888	transcribed_unitary_pseudogene
IPO8	1873.46346342704	-0.0004705069910824	0.0569555373489533	0.982253346479544	0.988053110967081	protein_coding
SLC45A3	599.113445357963	-0.0007850449627917	0.0894692592689209	0.988884002671594	0.992980456381132	protein_coding
PHF23	505.178041308542	-0.0009547852151759	0.0926457878222924	0.989615290371288	0.993341746743129	protein_coding
TMEM260	367.172890733835	0.0009668498534146	0.108546568852423	0.993591460541169	0.995965108518041	protein_coding
NFKBIZ	1443.07930983672	0.0010167504945484	0.0785828262050051	0.990513460290339	0.993803036941882	protein_coding
SURF6	499.06070748794	0.0010263569779083	0.0942215681428164	0.991161406877472	0.994321046534568	protein_coding
TMEM147	535.689502264908	0.0010287197310771	0.0915202920542049	0.993708120381492	0.996006592486576	protein_coding
TMEM214	1055.86659932397	0.0011443048755806	0.070125132551261	0.987537794404509	0.991874308886264	protein_coding
NOP14	1086.81001941069	-0.0015273461631702	0.0709313258291946	0.982151649481935	0.988006407560717	protein_coding
ARHGDIB	438.40457382502	0.0016218429401224	0.101946801673756	0.987968915054448	0.992172665424327	protein_coding
AP1M2	1202.80592897207	-0.0016282453387751	0.0698189368985671	0.980724322426277	0.987040896261475	protein_coding
LTA4H	1959.36137011188	-0.0016817532319111	0.0551220142989167	0.97504130026071	0.983768347566779	protein_coding
HOMER1	296.905878199698	0.0017038310911701	0.11487381162098	0.988904757623808	0.992980456381132	protein_coding
TRIM13	409.280046032464	0.0018512392143027	0.102524867622023	0.986237114334447	0.991078003282366	protein_coding
CPNE3	1022.77130429113	-0.0019599663058893	0.0696620549122192	0.976911013554112	0.984719524793719	protein_coding
ZSCAN12	256.970615318342	0.0021709298043875	0.128151181446513	0.98240864822786	0.988165459981659	protein_coding
ZSCAN12	256.970615318342	0.0021709298043875	0.128151181446513	0.98240864822786	0.988165459981659	transcribed_unprocessed_pseudogene
MEA1	747.697658020022	-0.0023695272237603	0.0807068081704063	0.975842106291679	0.984269517644091	protein_coding
RMND5B	568.83770902675	0.0024217062857561	0.0927837782906407	0.974079184612723	0.98310406079978	protein_coding
TRAPPC4	515.335174179606	-0.0024270754511027	0.0987258049465633	0.979409499850622	0.986169147644686	protein_coding
MRPL47	628.798784120543	-0.0026335783527044	0.0914952288677948	0.976235683514991	0.98441393626738	protein_coding
ASS1	1445.60898684644	0.0027441179678006	0.0823765971268246	0.976056421651099	0.984366512810815	protein_coding
