baseMean	log2FoldChange	lfcSE	pvalue	padj
KLHL21	2927.91715179701	3.77034785115291	0.0641482730333255	0	0
ENO1	59778.8675117162	2.44496097800508	0.0390458184993488	0	0
KIF1B	5680.09575677863	2.56361228033437	0.0497356657006965	0	0
PGD	5833.43453366339	1.70059775339097	0.0448136065959868	0	0
UBR4	19471.1776174961	2.37912768174387	0.0404499121632019	0	0
PSMB2	8526.61828973586	2.77982878871107	0.0467474991019513	0	0
RLF	2542.85098461277	2.74962398949457	0.0709165630692787	0	0
RIMKLA	970.39701922274	3.33575668013232	0.0877708775335578	0	0
SLC2A1	37880.9121613562	3.1691673980198	0.0481422228630421	0	0
JUN	6705.80549815316	1.99338249209605	0.0522884657345005	0	0
DNTTIP2	3858.38566771191	2.37185028955567	0.0554346617298926	0	0
GCLM	4247.1551775346	4.05697707857671	0.061498539850535	0	0
AHCYL1	6632.70801971441	1.6934922551039	0.0445337851661789	0	0
PSMB4	5652.86816202071	2.49641776386513	0.0474868255128752	0	0
EFNA1	2115.14591725618	3.03557510301393	0.0688200928500425	0	0
DAP3	4877.26580305792	1.97419387592671	0.046519913278325	0	0
RIT1	2636.40038300032	3.33972825695826	0.060211068851608	0	0
QSOX1	5851.67717363097	2.11458446245552	0.0479888521535529	0	0
LGALS8	3970.91991640591	2.53674003201848	0.0534665825737249	0	0
LPIN1	2098.18253499421	3.81183984648991	0.0742736689418756	0	0
FOSL2	4597.80308098175	2.0190851119602	0.0505158342762753	0	0
YPEL5	2589.43961576968	2.63689603010613	0.061523888619247	0	0
PSME4	7767.55668485435	2.56689692808914	0.0516247188407729	0	0
HK2	7133.87713197943	4.50136603689299	0.053551057332108	0	0
KCMF1	3685.42043341451	2.0664558090669	0.052875522397883	0	0
KDM3A	9777.3003710356	3.52347192757346	0.0465407460270347	0	0
SLC20A1	1888.20418062357	2.56334498847284	0.0652132636239127	0	0
PLEKHB2	8353.58022849959	2.14456574322189	0.0448313298110324	0	0
UBXN4	7612.93895162014	1.90894105696987	0.0487482701830815	0	0
PSMD14	6231.46390344534	2.74717435742143	0.0612062803532456	0	0
PDK1	3433.13389147492	2.91026066768552	0.0556178819684366	0	0
ALS2	2203.42966825356	2.40292141179202	0.0635011290683058	0	0
VIL1	1920.53790235753	-2.62670977775268	0.0698907704732792	0	0
ANKZF1	2298.11202632132	2.37438599163502	0.0619554820633588	0	0
PSMD1	6846.84389924893	2.50769499604028	0.0486918464253133	0	0
BHLHE40	2631.69766119234	4.58755264352999	0.0721004825757757	0	0
